bag_id,filename
0,PC4_20090606_070000_0020.bmp
1,PC16_20090804_050000_0030.bmp
2,PC1_20090513_050000_0040.bmp
3,PC7_20100804_070000_0040.bmp
4,PC7_20090705_050000_0010.bmp
5,PC7_20100606_043000_0040.bmp
6,PC10_20100705_070000_0020.bmp
7,PC8_20090705_070000_0020.bmp
8,PC5_20100804_070000_0010.bmp
9,PC2_20100606_052906_0720.bmp
10,PC16_20100606_050000_0010.bmp
11,PC7_20090705_050000_0020.bmp
12,PC10_20090513_054500_0010.bmp
13,PC16_20100705_070000_0030.bmp
14,PC4_20100606_050000_0040.bmp
15,PC15_20090606_070011_0010.bmp
16,PC18_20100804_050020_0040.bmp
17,PC16_20100705_050000_0040.bmp
18,PC11_20090705_050000_0020.bmp
19,PC13_20100606_050001_0030.bmp
20,PC10_20090606_054500_0010.bmp
21,PC1_20100513_043000_0030.bmp
22,PC11_20090513_070300_0010.bmp
23,PC17_20090804_070000_0040.bmp
24,PC15_20100513_043000_0740.bmp
25,PC15_20100606_064100_0040.bmp
26,PC8_20100606_050001_0020.bmp
27,PC7_20090804_070000_0030.bmp
28,PC5_20100705_070002_0020.bmp
29,PC7_20100804_070000_0010.bmp
30,PC10_20100804_070000_0040.bmp
31,PC17_20100513_043000_0740.bmp
32,PC1_20090606_050012_0010.bmp
33,PC17_20100513_043000_0040.bmp
34,PC5_20100705_070002_0010.bmp
35,PC18_20100705_070000_0030.bmp
36,PC10_20090513_054500_0020.bmp
37,PC7_20100606_043000_0030.bmp
38,PC4_20090705_050000_0010.bmp
39,PC8_20100606_070001_0040.bmp
40,PC2_20090705_050000_0040.bmp
41,PC17_20090705_070000_0030.bmp
42,PC15_20100804_070000_0040.bmp
43,PC1_20100705_050001_0040.bmp
44,PC5_20090705_050000_0030.bmp
45,PC15_20100804_050000_0010.bmp
46,PC16_20090804_050000_0010.bmp
47,PC4_20100606_070000_0030.bmp
48,PC17_20090705_050000_0010.bmp
49,PC8_20100705_050000_0010.bmp
50,PC2_20100606_052906_0040.bmp
51,PC8_20100606_070001_0010.bmp
52,PC15_20100606_050000_0030.bmp
53,PC7_20100513_043000_0010.bmp
54,PC7_20090606_050011_0020.bmp
55,PC11_20090705_050000_0010.bmp
56,PC8_20090705_070000_0010.bmp
57,PC17_20100804_050020_0040.bmp
58,PC18_20100513_043000_0010.bmp
59,PC11_20100606_053000_0040.bmp
60,PC1_20100705_050001_0030.bmp
61,PC1_20090606_070012_0040.bmp
62,PC11_20090513_050300_0010.bmp
63,PC10_20090606_074500_0020.bmp
64,PC15_20090705_070000_0030.bmp
65,PC17_20100804_050020_0020.bmp
66,PC10_20100606_070000_0010.bmp
67,PC1_20090705_050000_0040.bmp
68,PC18_20100513_043000_0730.bmp
69,PC16_20100705_050000_0020.bmp
70,PC2_20100513_043000_0040.bmp
71,PC16_20100705_070000_0040.bmp
72,PC11_20100705_050000_0020.bmp
73,PC4_20090705_070000_0010.bmp
74,PC1_20090606_050012_0040.bmp
75,PC4_20100513_043013_0010.bmp
76,PC2_20090513_070000_0020.bmp
77,PC7_20100606_043000_0010.bmp
78,PC1_20100606_070000_0020.bmp
79,PC7_20100606_070104_0010.bmp
80,PC16_20090513_070000_0040.bmp
81,PC15_20100705_070000_0040.bmp
82,PC8_20100606_050001_0030.bmp
83,PC16_20090804_050000_0040.bmp
84,PC17_20100705_050002_0020.bmp
85,PC17_20090705_050000_0030.bmp
86,PC18_20100804_070020_0020.bmp
87,PC2_20100513_043000_0730.bmp
88,PC1_20090606_070012_0030.bmp
89,PC7_20090804_050000_0020.bmp
90,PC18_20100804_050020_0010.bmp
91,PC15_20090804_050000_0030.bmp
92,PC13_20090513_070000_0030.bmp
93,PC16_20090606_050000_0010.bmp
94,PC16_20100804_070000_0030.bmp
95,PC18_20090705_050000_0010.bmp
96,PC2_20090606_070000_0030.bmp
97,PC13_20090513_070000_0020.bmp
98,PC7_20100705_070000_0040.bmp
99,PC1_20090804_050011_0010.bmp
100,PC10_20100804_050000_0040.bmp
101,PC16_20090606_070000_0030.bmp
102,PC16_20090513_050000_0010.bmp
103,PC1_20100804_050000_0020.bmp
104,PC7_20100606_070104_0040.bmp
105,PC2_20100513_043000_0030.bmp
106,PC1_20100606_070000_0040.bmp
107,PC16_20100513_043000_0020.bmp
108,PC15_20100606_064100_0030.bmp
109,PC13_20090606_070000_0030.bmp
110,PC8_20100705_070000_0020.bmp
111,PC5_20100804_050000_0010.bmp
112,PC8_20090705_050000_0030.bmp
113,PC18_20100513_043000_0030.bmp
